sentence,hypothesis,features,contradiction
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.37.94') set bandwidth('max', '60', 'mbps') start hour('06:20') end hour('12:40')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.50') set quota('download', '3', 'gb/wk') start hour('15:30') end hour('18:40')","[3, 1, 0, 0, 0, 1, 0, 3.1109467639714876, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: for group('dorms') add middlebox('firewall'), middlebox('ips')","define intent hypIntent: for group('dorm') remove middlebox('ips'), middlebox('firewall')","[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2.50193836597822, 4]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.63') set quota('download', '9', 'gb/wk')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.69') set bandwidth('min', '60', 'mbps')","[5, 1, 1440.0, 0, 0, 1, 0, 2.7362661052029953, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('19.16.1.1') add middlebox('dpi'), middlebox('parental control'), middlebox('ids')",define intent hypIntent: from endpoint('19.16.1.1') to endpoint('19.16.1.1') remove middlebox('ids'),"[2, 1, 1440.0, 1, 0, 0, 0, 4.0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1.5760989181537095, 4]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.15') allow service('bittorrent'), service('file transfer')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.17') block traffic('email'), traffic('social media')","[5, 1, 1440.0, 1, 0, 1, 0, 3.033222820866925, 4, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0]",0
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.24') allow service('MSN application sharing') protocol('udp'),define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.26') block service('Sorenson Videophone 200') protocol('http'),"[3, 1, 1440.0, 1, 0, 0, 1, 2.9525250320162497, 4, 0.5213810583165386, 2, 0, 0, 0, 0, 0.3790253730778652, 2, 0, 0]",1
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.16.52') block service('Sorenson Videophone 200') protocol('IMAP'),"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.16.57') allow protocol('secure IMAP'), protocol('snmp')","[5, 1, 1440.0, 1, 0, 1, 0, 2.91088074694167, 4, 0, 1, 0, 0, 0, 0, 1.042492330137037, 3, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.16.52') set quota('upload', '9', 'gb/wk')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.16.61') set quota('any', '3', 'gb/wk')","[5, 0, 1440.0, 0, 0, 1, 0, 2.9130167384882286, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('guests') set bandwidth('min', '60', 'mbps') start hour('04:30') end hour('13:20')","define intent hypIntent: for group('guests') set bandwidth('max', '60', 'mbps') start hour('15:10') end hour('17:30')","[5, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.39') set bandwidth('max', '60', 'mbps')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.47') set bandwidth('max', '40', 'mbps')","[5, 0, 1440.0, 0, 0, 1, 0, 3.105726245069434, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.3') add middlebox('parental control'), middlebox('load balancer')","define intent hypIntent: for group('students') add middlebox('overuse notification'), middlebox('ids')","[4, 1, 1440.0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 1.754459539921053, 4]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.29.75') set bandwidth('max', '10', 'mbps')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.29.77') set bandwidth('min', '70', 'mbps')","[5, 0, 1440.0, 0, 0, 1, 0, 3.1925664146060004, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('guests') set quota('upload', '8', 'gb/wk')","define intent hypIntent: for group('visitors') set bandwidth('min', '70', 'mbps')","[5, 1, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: for group('students') set quota('upload', '8', 'gb/wk')","define intent hypIntent: for group('pupil') set quota('upload', '2', 'gb/wk')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.7.27') unset bandwidth('min', '30', 'mbps')","define intent hypIntent: for group('dorms') unset quota('upload', '7', 'gb/wk')","[4, 1, 1440.0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: for group('guests') add middlebox('traffics monitor'), middlebox('overuse notification'), middlebox('parental control')","define intent hypIntent: for group('guests') remove middlebox('dpi'), middlebox('overuse notification'), middlebox('ids')","[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 4.383105396439556, 6]",1
"define intent stnIntent: for group('students') remove middlebox('traffics monitor'), middlebox('ips')","define intent hypIntent: for group('students') remove middlebox('parental control'), middlebox('copyright monitoring')","[5, 1, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 1.3697814896020664, 4]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.37.86') allow protocol('quic'), protocol('telnet')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.37.91') block protocol('ftp'), protocol('telnet')","[5, 1, 1440.0, 1, 0, 1, 0, 3.014595422487571, 4, 0, 0, 0, 0, 0, 0, 2.60960034734656, 4, 0, 0]",1
"define intent stnIntent: for group('guests') set bandwidth('min', '40', 'mbps')","define intent hypIntent: for group('guest networks') set quota('download', '1', 'gb/wk')","[5, 1, 1440.0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.37.93') set bandwidth('max', '30', 'mbps')","define intent hypIntent: for group('guests') set bandwidth('min', '90', 'mbps')","[3, 0, 1440.0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.37.86') set quota('any', '1', 'gb/wk')","define intent stnIntent: for group('students') add middlebox('parental control'), middlebox('dpi'), middlebox('network border system')","[2, 1, 1440.0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 3]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.49') set quota('upload', '4', 'gb/wk')","define intent hypIntent: for group('dorms') set quota('upload', '9', 'gb/wk')","[5, 0, 1440.0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('dorms') add middlebox('copyright monitoring'), middlebox('overuse notification'), middlebox('dpi')","define intent hypIntent: for group('residence hall') add middlebox('firewall'), middlebox('ips'), middlebox('load balancer')","[5, 1, 1440.0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 4.243563317781169, 6]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.4') set quota('download', '1', 'gb/wk')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.13') set quota('any', '6', 'gb/wk')","[5, 0, 1440.0, 0, 0, 1, 0, 3.059477784515689, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
define intent stnIntent: for group('dorms') add middlebox('ids'),"define intent hypIntent: for group('dorm') add middlebox('dpi'), middlebox('ids')","[5, 1, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1.378758971538556, 3]",0
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.37.86') add middlebox('overuse notification'),"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.37.94') remove middlebox('overuse notification'), middlebox('ids'), middlebox('network border system')","[5, 1, 1440.0, 1, 0, 1, 0, 3.0640317934486, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1.8374250562800154, 4]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.50') set quota('any', '3', 'gb/wk') start hour('06:40') end hour('11:00')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.16.55') unset bandwidth('max', '20', 'mbps') start hour('14:00') end hour('18:40')","[3, 1, 0, 1, 0, 1, 0, 2.9645213581840233, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: for group('students') add middlebox('load balancer'), middlebox('dpi')","define intent hypIntent: for group('educatee') remove middlebox('traffics monitor'), middlebox('load balancer')","[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2.3546953933443437, 4]",1
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.16.52') allow service('MSN audio') protocol('icmp'),define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.16.59') block service('Net2Phone') protocol('snmp'),"[5, 1, 1440.0, 1, 0, 1, 0, 2.7587905538553086, 4, 0.45055757573693056, 2, 0, 0, 0, 0, 0.718806910896778, 2, 0, 0]",0
"define intent stnIntent: for group('guests') set quota('download', '2', 'gb/wk')","define intent hypIntent: for group('guests') set quota('any', '9', 'gb/wk')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('guests') set quota('download', '9', 'gb/wk')","define intent hypIntent: for group('guests') set quota('download', '7', 'gb/wk')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.74') allow protocol('icmp'), protocol('quic')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.29.75') block protocol('secure IMAP'), protocol('icmp')","[4, 1, 1440.0, 1, 0, 1, 0, 3.2430324433087527, 4, 0, 0, 0, 0, 0, 0, 2.6058864877607846, 4, 0, 0]",1
"define intent stnIntent: for group('students') remove middlebox('network border system'), middlebox('traffics monitor')","define intent hypIntent: for group('bookman') remove middlebox('traffics monitor'), middlebox('copyright monitoring'), middlebox('unit firewall')","[5, 1, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 4.042899744404391, 5]",0
define intent stnIntent: for group('students') allow traffic('peer2peer') protocol('smtp'),"define intent hypIntent: for group('students') block protocol('secure IMAP'), protocol('udp')","[5, 1, 1440.0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 2, 0, 1, 0.5224970953598469, 3, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.2') allow service('Sorenson Videophone 200'), service('netflix') start hour('05:00') end hour('14:20')",define intent hypIntent: for group('students') block service('NETBIOS') traffic('torrent') start hour('14:40') end hour('17:20'),"[3, 1, 0, 1, 0, 1, 0, 0, 2, 0.6392641321643397, 3, 0, 1, 0, 1, 0, 0, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.2') allow service('Everquest'), service('youtube')",define intent hypIntent: for group('students') block service('file transfer') protocol('udp'),"[3, 1, 1440.0, 1, 0, 1, 1, 0, 2, 0.7176583147164334, 3, 0, 1, 0, 0, 0, 1, 0, 0]",1
"define intent stnIntent: for group('guests') set quota('any', '2', 'gb/wk')","define intent hypIntent: for group('guests') set quota('download', '8', 'gb/wk')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.15') set bandwidth('max', '80', 'mbps')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.19') set bandwidth('max', '70', 'mbps')","[5, 0, 1440.0, 0, 0, 1, 0, 2.732129605242168, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
define intent stnIntent: for group('students') block service('youtube') traffic('voip'),define intent hypIntent: for group('bookman') block service('Net2Phone') traffic('video conference'),"[5, 1, 1440.0, 0, 1, 1, 1, 0, 0, 0.3932533029181067, 2, 0, 2, 0.29188568396513814, 2, 0, 0, 0, 0]",0
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.74') allow traffic('any') protocol('https'),define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.51') block traffic('social media') protocol('http'),"[3, 1, 1440.0, 1, 0, 0, 1, 3.1151434778680986, 4, 0, 0, 0, 0, 0.1043412529290388, 2, 0.6173217776708629, 2, 0, 0]",1
"define intent stnIntent: for group('dorms') set quota('upload', '8', 'gb/wk')","define intent hypIntent: for group('dorms') set bandwidth('max', '70', 'mbps')","[5, 1, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.26') set bandwidth('max', '90', 'mbps')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.2') set bandwidth('max', '50', 'mbps')","[3, 0, 1440.0, 0, 0, 1, 0, 3.0860683831188007, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.48') add middlebox('ips'), middlebox('unit firewall')",define intent hypIntent: for group('students') remove middlebox('dpi'),"[3, 1, 1440.0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0.8882249011015213, 3]",0
define intent stnIntent: for group('dorms') add middlebox('copyright monitoring'),define intent hypIntent: for group('dorms') remove middlebox('copyright monitoring'),"[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 1.0, 2]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.50') add middlebox('load balancer'), middlebox('ips'), middlebox('ids') start hour('03:10') end hour('11:00')",define intent hypIntent: for group('guests') remove middlebox('ips') start hour('16:00') end hour('18:00'),"[3, 1, 0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 1.9325867538588928, 4]",0
"define intent stnIntent: for group('dorms') add middlebox('ids'), middlebox('traffics monitor'), middlebox('firewall')",define intent hypIntent: for group('dorm') remove middlebox('ids'),"[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1.8133416409490692, 4]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.40') add middlebox('network border system'), middlebox('overuse notification') start hour('02:10') end hour('10:40')","define intent hypIntent: for group('dorms') remove middlebox('unit firewall'), middlebox('network border system') start hour('14:10') end hour('15:00')","[5, 1, 0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 3.129563492286797, 4]",0
"define intent stnIntent: for group('dorms') set bandwidth('min', '30', 'mbps')","define intent hypIntent: for group('dorms') set bandwidth('max', '60', 'mbps')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.67') unset bandwidth('min', '20', 'mbps')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.63') unset quota('any', '9', 'gb/wk')","[5, 1, 1440.0, 0, 0, 1, 0, 2.573173682079906, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: for group('students') set bandwidth('max', '50', 'mbps')","define intent hypIntent: for group('bookman') set bandwidth('max', '50', 'mbps')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]",1
define intent stnIntent: for group('students') block service('MSN video') protocol('POP3') start hour('03:00') end hour('11:10'),define intent hypIntent: for group('students') block service('email') protocol('http') start hour('15:20') end hour('16:40'),"[5, 1, 0, 0, 1, 1, 1, 0, 0, 0.5383847215692616, 2, 1, 2, 0, 0, 0.35092583050466636, 2, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.63') set bandwidth('max', '90', 'mbps')","define intent hypIntent: for group('guests') set bandwidth('min', '80', 'mbps')","[4, 0, 1440.0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('students') remove middlebox('firewall'), middlebox('parental control')","define intent hypIntent: for group('scholar') remove middlebox('copyright monitoring'), middlebox('network border system'), middlebox('unit firewall')","[5, 1, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 3.508125484473264, 5]",0
"define intent stnIntent: for group('dorms') set bandwidth('max', '50', 'mbps')","define intent hypIntent: for group('dorms') set bandwidth('min', '30', 'mbps')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.29.81') block service('popcorn time'), service('AIM chat') start hour('04:40') end hour('11:40')",define intent hypIntent: for group('guests') block service('popcorn time') start hour('14:30') end hour('16:10'),"[3, 1, 0, 0, 0, 0, 0, 0, 2, 1.3326582926346233, 3, 0, 1, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.51') set bandwidth('max', '60', 'mbps')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.29.75') set bandwidth('min', '10', 'mbps')","[3, 0, 1440.0, 0, 0, 0, 0, 3.2939607221018536, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('guests') remove middlebox('dpi'), middlebox('ids') start hour('04:20') end hour('12:10')",define intent hypIntent: for group('guests') remove middlebox('unit firewall') start hour('14:40') end hour('15:10'),"[5, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0.695485389139582, 3]",0
define intent stnIntent: for group('guests') add middlebox('parental control'),"define intent hypIntent: for group('guests') remove middlebox('parental control'), middlebox('copyright monitoring')","[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 1.685701348906791, 3]",1
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.37.86') block service('instagram') protocol('secure POP'),define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.37.88') allow traffic('streaming') protocol('telnet'),"[5, 1, 1440.0, 1, 0, 1, 0, 2.8408140025602666, 4, 0, 1, 0, 0, 0, 1, 0.4224846460226159, 2, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('19.16.1.1') set quota('any', '3', 'gb/wk')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('19.16.1.1') set quota('download', '7', 'gb/wk')","[2, 0, 1440.0, 0, 0, 0, 0, 4.0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.74') set bandwidth('min', '40', 'mbps')",define intent stnIntent: for group('guests') allow traffic('streaming') protocol('nat'),"[3, 1, 1440.0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]",0
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.2') add middlebox('ids'),"define intent hypIntent: for group('students') remove middlebox('copyright monitoring'), middlebox('firewall'), middlebox('ids')","[3, 1, 1440.0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 1.5373140520050914, 4]",1
"define intent stnIntent: for group('dorms') remove middlebox('firewall'), middlebox('copyright monitoring') start hour('06:20') end hour('09:10')","define intent hypIntent: for group('dorms') remove middlebox('unit firewall'), middlebox('load balancer') start hour('15:30') end hour('17:00')","[5, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 2.5212984031616767, 4]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.25') allow traffic('voip'), traffic('email') start hour('08:30') end hour('14:40')",define intent hypIntent: for group('students') block traffic('streaming') protocol('IMAP'),"[4, 1, 371.0, 1, 0, 0, 1, 0, 2, 0, 0, 0, 1, 0.8870078672614056, 3, 0, 1, 0, 0]",1
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.37.86') allow service('email') traffic('video conference'),define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.37.93') allow traffic('H323 video conferencing') protocol('ssh'),"[5, 1, 1440.0, 0, 0, 1, 0, 3.0443764524146024, 4, 0, 1, 0, 0, 0.6949906268291183, 2, 0, 1, 0, 0]",0
"define intent stnIntent: for group('dorms') set quota('upload', '5', 'gb/wk')","define intent hypIntent: for group('dorms') set quota('any', '6', 'gb/wk')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('guests') remove middlebox('firewall'), middlebox('ids') start hour('04:00') end hour('13:30')",define intent hypIntent: for group('guests') add middlebox('traffics monitor') start hour('15:30') end hour('17:40'),"[5, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0.9420910718291705, 3]",0
define intent stnIntent: for group('guests') add middlebox('firewall'),"define intent hypIntent: for group('non registered users') remove middlebox('parental control'), middlebox('traffics monitor'), middlebox('firewall')","[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1.871075179655501, 4]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.43') set quota('any', '3', 'gb/wk')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.2') set quota('any', '1', 'gb/wk')","[3, 0, 1440.0, 0, 0, 1, 0, 2.962385019920574, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.37.86') set bandwidth('max', '90', 'mbps')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.50') set bandwidth('max', '80', 'mbps')","[3, 0, 1440.0, 0, 0, 1, 0, 2.9311955433278065, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
define intent stnIntent: for group('students') add middlebox('traffics monitor') start hour('06:10') end hour('10:20'),"define intent hypIntent: for group('students') remove middlebox('copyright monitoring'), middlebox('traffics monitor') start hour('15:10') end hour('17:00')","[5, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 1.4804728750538116, 3]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.15') set quota('any', '7', 'gb/wk')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.23') set quota('download', '2', 'gb/wk')","[5, 0, 1440.0, 0, 0, 1, 0, 2.865409108630808, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
define intent stnIntent: for group('students') remove middlebox('firewall'),"define intent hypIntent: for group('students') add middlebox('traffics monitor'), middlebox('ids')","[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0.7466421022879234, 3]",0
"define intent stnIntent: for group('students') set quota('download', '1', 'gb/wk')","define intent hypIntent: for group('student') set quota('download', '7', 'gb/wk')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('guests') allow service('Net2Phone'), service('AIM chat')","define intent hypIntent: for group('non registered users') allow protocol('quic'), protocol('dns')","[5, 1, 1440.0, 0, 1, 1, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 2, 0, 0]",0
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.16.52') allow service('email') traffic('streaming'),"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.16.61') block traffic('email'), traffic('H323 video conferencing')","[5, 1, 1440.0, 1, 1, 1, 1, 2.9130167384882286, 4, 0, 1, 0, 0, 1.0887914473250042, 3, 0, 0, 0, 0]",1
define intent stnIntent: for group('dorms') add middlebox('traffics monitor'),define intent hypIntent: for group('student residence') add middlebox('unit firewall'),"[5, 1, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0.5818680038345065, 2]",0
"define intent stnIntent: for group('dorms') set quota('download', '1', 'gb/wk')","define intent hypIntent: for group('dormitory') set quota('download', '3', 'gb/wk')","[5, 0, 1440.0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('guests') remove middlebox('ips'), middlebox('network border system'), middlebox('unit firewall')","define intent hypIntent: for group('visitors') add middlebox('ids'), middlebox('parental control')","[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2.553747062694902, 5]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.16.52') set quota('upload', '8', 'gb/wk')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.50') set quota('upload', '9', 'gb/wk')","[3, 0, 1440.0, 0, 0, 1, 0, 2.898905467743407, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.4') allow service('email') protocol('dns'),define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.13') allow service('AIM chat') protocol('http'),"[5, 1, 1440.0, 0, 0, 1, 0, 3.059477784515689, 4, 0.6344215509919352, 2, 0, 0, 0, 0, 0.4161534677109726, 2, 0, 0]",0
"define intent stnIntent: for group('dorms') allow service('MSN video'), service('netflix')",define intent hypIntent: for group('dorms') block service('MSN video') protocol('sftp'),"[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 1.5663737532188309, 3, 1, 2, 0, 0, 0, 1, 0, 0]",1
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.2') allow traffic('streaming') protocol('telnet') start hour('05:40') end hour('13:10'),define intent hypIntent: for group('students') block traffic('email') protocol('telnet') start hour('15:00') end hour('18:10'),"[3, 1, 0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0.4643345118857562, 2, 1.0, 2, 0, 0]",0
"define intent stnIntent: for group('students') set quota('upload', '5', 'gb/wk')","define intent hypIntent: for group('students') set quota('upload', '3', 'gb/wk')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('students') unset quota('any', '7', 'gb/wk')","define intent hypIntent: for group('students') unset bandwidth('max', '30', 'mbps')","[5, 1, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",0
